B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed
4.8,0.0,0.0,52.8,18.2,0.23600000000000002,0.0,1.0,0.4,0.1,53.8,19.2,9.0,419.4,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,Orthodox,167.64,170.18,135.0,0.0,4.0,0.0,21.9,16.4,17.0,11.0,75.0,26.5,9.4,6.5,74.2,23.9,0.4,5.3,3.7,1.2,0.0,101.4,44.0,0.466,0.1,5.3,1.9
8.4,1.4,0.0,122.6,48.5,0.408,0.7,2.3,0.9,0.231,151.5,75.4,29.0,849.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,Orthodox,167.64,167.64,125.0,0.0,2.0,0.0,12.0,7.7142857142857135,9.285714285714286,6.857142857142858,88.14285714285714,36.142857142857146,18.428571428571427,16.428571428571427,84.57142857142857,37.0,0.0,19.285714285714285,14.714285714285715,1.7142857142857142,0.14285714285714285,115.85714285714286,59.42857142857143,0.5757142857142856,0.42857142857142855,5.142857142857143,2.4285714285714284
7.483870967741934,0.03225806451612903,0.03225806451612903,94.70967741935483,44.838709677419345,0.4532258064516129,0.0967741935483871,2.096774193548387,0.2258064516129032,0.06354838709677417,100.38709677419355,49.774193548387096,68.0,581.8709677419355,1.0,0.0,0.0,7.0,10.0,6.0,0.0,23.0,Orthodox,185.42,185.42,155.0,0.0,11.0,0.0,13.866666666666667,8.666666666666666,2.8666666666666667,1.7333333333333334,116.13333333333334,49.46666666666667,5.333333333333333,4.266666666666667,96.73333333333332,35.6,0.2,13.733333333333333,11.2,0.3333333333333333,0.13333333333333333,124.33333333333331,55.46666666666667,0.43,1.0,0.9333333333333332,0.4
4.25,0.0,0.0,102.0,31.75,0.3375,0.0,4.5,0.75,0.0975,104.75,34.25,9.0,652.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,Switch,170.18,170.18,135.0,1.0,0.0,0.0,18.25,10.25,5.875,4.125,104.875,41.0,1.0,0.625,80.5,24.0,0.375,13.0,11.5,0.125,0.0,111.75,45.75,0.36625,0.0,2.25,0.625
10.0,0.0,0.0,205.5,90.0,0.43,0.0,0.5,0.0,0.0,205.5,90.0,8.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Southpaw,180.34,185.42,250.0,1.0,0.0,0.0,7.75,6.75,11.0,7.25,50.75,24.75,0.5,0.5,50.75,22.75,0.5,3.75,3.0,0.25,0.0,62.25,32.5,0.545,0.0,0.5,0.0
8.333333333333334,1.5,0.16666666666666666,110.0,48.83333333333334,0.4266666666666666,0.0,6.0,1.1666666666666667,0.14,131.5,68.66666666666667,18.0,886.5,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,Orthodox,165.1,162.56,115.0,0.0,4.0,0.0,8.75,7.5,3.0,2.25,12.75,4.75,42.25,35.75,44.75,31.25,0.0,4.5,4.0,7.75,0.0,58.0,42.75,0.6375,0.5,5.5,4.5
4.583333333333333,0.08333333333333333,0.0,107.5,44.16666666666666,0.4025,0.0,2.1666666666666665,0.5,0.19416666666666668,110.33333333333331,46.5,23.0,495.25,0.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,Orthodox,167.64,165.1,135.0,0.0,3.0,0.0,25.16666666666667,18.25,14.0,11.083333333333336,72.58333333333333,29.41666666666667,16.083333333333332,11.75,63.0,23.33333333333333,0.0,14.5,10.666666666666666,1.5,0.08333333333333333,102.66666666666669,52.25,0.49,0.75,5.333333333333333,1.75
2.75,2.75,0.25,113.75,36.75,0.325,0.25,5.5,2.0,0.38,132.75,53.75,10.0,716.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Orthodox,165.1,167.64,115.0,2.0,0.0,0.0,25.222222222222218,17.555555555555557,27.555555555555557,20.777777777777782,155.77777777777774,49.77777777777778,3.7777777777777777,3.0,149.0,46.77777777777778,0.0,12.888888888888891,9.222222222222221,0.7777777777777778,0.1111111111111111,187.11111111111111,73.55555555555556,0.38,0.0,0.7777777777777778,0.1111111111111111
18.5,0.0,0.0,167.25,74.5,0.4125,0.0,1.0,0.25,0.125,168.75,75.75,10.0,670.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,180.34,182.88,145.0,0.0,1.0,0.0,8.333333333333334,6.7333333333333325,7.2,6.4,54.26666666666666,21.2,6.933333333333334,4.666666666666667,45.93333333333333,15.266666666666667,0.13333333333333333,14.133333333333333,10.266666666666667,0.6666666666666666,0.4,68.4,32.266666666666666,0.478,0.6666666666666666,3.733333333333333,1.0666666666666669
10.1,1.0,0.0,191.2,65.1,0.36200000000000004,0.2,4.7,1.2,0.364,208.6,80.2,26.0,763.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,Orthodox,160.02,162.56,115.0,0.0,3.0,0.0,9.333333333333334,5.333333333333333,10.666666666666666,7.333333333333332,244.33333333333331,97.66666666666669,1.3333333333333333,0.6666666666666666,213.66666666666663,79.0,0.0,33.333333333333336,21.33333333333333,0.0,0.0,256.3333333333333,105.66666666666669,0.4033333333333333,0.0,0.3333333333333333,0.0
2.4285714285714284,0.7142857142857143,0.0,46.42857142857143,21.714285714285715,0.4385714285714286,0.7142857142857143,6.2857142857142865,2.2857142857142856,0.28,56.714285714285715,31.0,14.0,488.71428571428567,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Orthodox,182.88,187.96,185.0,1.0,0.0,0.0,9.0,4.0,18.0,12.0,139.0,56.0,0.0,0.0,100.0,27.0,0.0,48.0,37.0,0.0,0.0,157.0,68.0,0.43,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,170.18,172.72,135.0,2.0,0.0,0.0,12.75,6.666666666666668,2.6666666666666665,1.75,119.75,31.0,5.333333333333333,3.0,112.66666666666669,27.08333333333333,0.5,2.333333333333333,2.0,0.25,0.0,127.75,35.75,0.25666666666666665,0.0,0.8333333333333334,0.16666666666666666
6.0,1.125,0.0,86.0,43.375,0.5425,0.5,1.625,0.75,0.3825,104.875,59.75,18.0,628.625,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,Orthodox,167.64,165.1,125.0,1.0,0.0,0.0,22.16666666666667,13.333333333333336,6.5,4.166666666666667,188.33333333333331,55.33333333333334,2.1666666666666665,1.6666666666666667,162.16666666666666,37.16666666666666,0.16666666666666666,12.666666666666664,10.666666666666666,0.0,0.0,197.0,61.16666666666666,0.295,0.16666666666666666,2.1666666666666665,0.0
11.909090909090908,1.0,0.09090909090909093,82.54545454545455,47.45454545454545,0.4954545454545455,0.09090909090909093,2.9090909090909087,1.4545454545454546,0.3272727272727273,118.1818181818182,80.45454545454545,27.0,625.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,Orthodox,193.04,193.04,205.0,1.0,0.0,0.0,11.933333333333335,6.6,7.0,3.933333333333333,94.46666666666668,33.06666666666667,9.666666666666666,7.2,92.2,32.266666666666666,0.6,7.0,5.333333333333333,1.1333333333333333,0.0,111.13333333333334,44.2,0.38466666666666666,0.3333333333333333,3.0,1.2
4.666666666666667,0.3333333333333333,0.0,37.333333333333336,18.33333333333333,0.5,0.0,5.666666666666668,0.6666666666666666,0.04666666666666667,49.0,29.33333333333333,7.0,681.6666666666666,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,Orthodox,193.04,198.12,205.0,3.0,0.0,0.0,9.454545454545457,7.272727272727272,11.272727272727273,9.454545454545457,36.09090909090909,16.181818181818183,0.8181818181818182,0.4545454545454545,29.63636363636364,10.727272727272727,0.2727272727272727,9.090909090909092,8.090909090909092,0.09090909090909093,0.0,48.18181818181818,26.09090909090909,0.5372727272727272,0.18181818181818185,1.4545454545454546,0.2727272727272727
0.0,0.5,0.0,40.5,20.5,0.505,0.0,0.5,0.5,0.5,53.0,30.0,3.0,310.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,172.72,172.72,145.0,0.0,1.0,0.0,1.6,0.8,0.2,0.0,19.8,7.6,13.0,8.8,31.2,15.4,0.2,0.2,0.2,3.2,0.8,33.0,16.4,0.4560000000000001,1.0,5.0,2.4
3.6,2.2,0.4,37.8,17.2,0.37799999999999995,0.8,2.4,1.4,0.414,53.6,31.8,10.0,558.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Orthodox,177.8,180.34,155.0,0.0,2.0,0.0,9.0,7.2,3.6,3.2,60.0,25.4,8.8,6.2,60.2,24.4,0.4,3.2,3.2,0.6,0.0,72.4,34.8,0.4980000000000001,0.2,0.8,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,182.88,145.0,3.0,0.0,0.0,6.0,5.0,9.666666666666666,6.333333333333332,71.66666666666667,29.33333333333333,6.666666666666668,5.333333333333333,58.33333333333334,21.0,0.0,23.66666666666667,15.0,0.3333333333333333,0.0,88.0,41.0,0.4666666666666666,0.0,1.6666666666666667,0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,185.42,187.96,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,1.6,0.0,118.2,63.8,0.526,0.2,3.0,2.0,0.7240000000000001,178.2,115.8,13.0,720.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Orthodox,170.18,165.1,135.0,2.0,0.0,0.0,12.0,7.5,7.0,5.0,43.5,15.5,0.0,0.0,30.5,7.5,0.0,8.0,5.5,0.0,0.0,50.5,20.5,0.465,0.0,2.5,0.5
8.166666666666666,0.0,0.0,74.5,28.83333333333333,0.385,0.0,2.5,0.3333333333333333,0.08333333333333333,95.66666666666669,47.0,14.0,656.3333333333334,1.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,Orthodox,182.88,190.5,155.0,0.0,1.0,0.0,8.0,5.111111111111111,5.777777777777778,3.4444444444444446,74.8888888888889,29.88888888888889,8.222222222222221,6.888888888888888,67.77777777777777,24.555555555555557,0.1111111111111111,13.111111111111109,10.555555555555557,0.8888888888888888,0.0,88.8888888888889,40.22222222222222,0.4500000000000001,0.5555555555555556,1.0,0.5555555555555556
9.333333333333334,0.3333333333333333,0.0,225.0,102.66666666666669,0.4766666666666666,0.3333333333333333,4.333333333333333,0.6666666666666666,0.09333333333333334,235.33333333333331,112.66666666666669,8.0,727.6666666666665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,177.8,185.42,170.0,2.0,0.0,0.0,10.428571428571429,5.571428571428571,2.8571428571428568,1.1428571428571428,98.0,32.714285714285715,0.2857142857142857,0.2857142857142857,85.0,24.0,0.2857142857142857,5.7142857142857135,4.571428571428571,0.7142857142857143,0.14285714285714285,101.14285714285714,34.142857142857146,0.3171428571428571,0.0,2.142857142857143,0.7142857142857143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,185.42,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
