R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att
Henry Cejudo,Marlon Moraes,Marc Goddard,2019,"Chicago, Illinois, USA",Red,True,Bantamweight,5,0.0,4.0,0.0,9.2,6.0,0.2,0.0,62.6,20.6,2.6,2.0,48.6,11.2,0.8,7.6,5.4,0.4,0.0,65.4,22.6,0.466,0.4,0.8,0.2,0.1,66.4,23.6,4.0,1.0,6.4,4.0,1.0,0.6,51.2,17.4,0.6,0.2,39.6,9.4,0.2,6.8
Valentina Shevchenko,Jessica Eye,Robert Madrigal,2019,"Chicago, Illinois, USA",Red,True,Women's Flyweight,5,0.0,3.0,0.0,14.6,9.1,11.8,7.3,124.7,42.1,2.4,1.9,112.0,32.0,0.0,12.3,10.2,0.8,0.0,138.9,51.3,0.39899999999999997,0.7,1.0,0.5,0.225,158.7,69.6,3.0,6.0,13.0,9.3,12.8,9.6,101.7,32.0,8.1,6.9,97.7,30.8,0.1,11.9
Tony Ferguson,Donald Cerrone,Dan Miragliotta,2019,"Chicago, Illinois, USA",Red,False,Lightweight,3,0.0,3.0,0.0,15.35483870967742,11.32258064516129,6.741935483870968,4.387096774193549,84.74193548387096,38.58064516129032,5.516129032258066,3.806451612903226,67.64516129032258,23.258064516129032,0.6451612903225806,14.0,12.193548387096774,0.935483870967742,0.0967741935483871,97.0,46.774193548387096,0.4961290322580645,0.3548387096774194,2.161290322580645,0.6774193548387096,0.2954838709677419,103.70967741935483,52.548387096774185,8.0,8.0,17.903225806451616,11.870967741935484,8.419354838709678,5.838709677419355,84.54838709677419,38.064516129032256,1.7419354838709675,0.935483870967742,67.64516129032258,25.483870967741932,0.2258064516129032,9.161290322580646
Jimmie Rivera,Petr Yan,Kevin MacDonald,2019,"Chicago, Illinois, USA",Blue,False,Bantamweight,3,0.0,4.0,0.0,17.0,14.0,13.75,11.0,109.5,48.75,13.0,10.5,116.25,53.75,0.5,3.0,2.5,0.5,0.25,136.25,70.25,0.5499999999999999,0.25,2.5,1.25,0.2875,154.75,86.75,4.0,0.0,12.25,6.0,6.0,3.75,94.25,26.75,1.75,1.25,82.5,21.5,0.25,7.25
Tai Tuivasa,Blagoy Ivanov,Dan Miragliotta,2019,"Chicago, Illinois, USA",Blue,False,Heavyweight,3,0.0,1.0,0.0,17.0,14.5,2.5,2.0,201.0,59.5,0.0,0.0,184.5,45.0,0.0,2.0,2.0,0.0,0.0,203.5,61.5,0.31,0.0,0.0,0.0,0.0,204.0,62.0,1.0,1.0,42.5,23.5,0.5,0.5,205.0,89.5,0.0,0.0,152.5,56.5,0.0,10.5
Tatiana Suarez,Nina Ansaroff,Robert Madrigal,2019,"Chicago, Illinois, USA",Red,False,Women's Strawweight,3,0.0,4.0,0.0,19.5,12.333333333333336,11.833333333333336,7.166666666666668,142.33333333333334,63.83333333333334,6.0,4.166666666666667,117.83333333333331,42.66666666666666,0.0,22.83333333333333,20.166666666666668,1.3333333333333333,0.16666666666666666,160.16666666666666,75.16666666666667,0.47,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.25,183.5,95.66666666666669,4.0,2.0,12.0,7.333333333333332,9.666666666666666,7.0,95.16666666666669,38.333333333333336,5.166666666666667,3.5,86.66666666666669,33.166666666666664,0.0,11.333333333333336
Aljamain Sterling,Pedro Munhoz,Marc Goddard,2019,"Chicago, Illinois, USA",Red,False,Bantamweight,3,0.0,3.0,0.0,15.0,7.416666666666668,6.083333333333332,3.4166666666666665,84.91666666666667,34.666666666666664,5.083333333333333,3.4166666666666665,66.58333333333333,24.0,0.4166666666666667,14.5,10.083333333333334,0.5833333333333334,0.08333333333333333,96.08333333333331,41.5,0.4991666666666667,0.6666666666666666,2.75,0.5833333333333334,0.2333333333333333,102.66666666666669,47.5,4.0,4.0,13.166666666666664,7.25,2.6666666666666665,1.3333333333333333,103.16666666666669,41.66666666666666,1.6666666666666667,1.1666666666666667,88.83333333333331,32.333333333333336,0.0,5.5
Karolina Kowalkiewicz,Alexa Grasso,Kevin MacDonald,2019,"Chicago, Illinois, USA",Blue,False,Women's Strawweight,3,1.0,0.0,0.0,16.25,11.0,17.5,11.25,105.75,40.0,3.0,2.5,94.25,29.75,0.0,15.75,13.0,0.25,0.25,126.25,53.75,0.5025,0.25,0.5,0.25,0.125,165.5,87.5,1.0,2.0,18.75,10.5,8.0,6.25,101.0,27.0,4.75,3.5,90.0,23.5,0.0,5.0
Ricardo Lamas,Calvin Kattar,Dan Miragliotta,2019,"Chicago, Illinois, USA",Blue,False,Featherweight,3,0.0,1.0,0.0,7.25,4.75,1.75,0.5,125.0,50.75,8.75,5.0,122.25,46.5,0.5,6.0,5.0,0.0,0.0,135.5,56.25,0.42,0.0,1.5,0.5,0.165,139.25,59.0,2.0,1.0,20.75,13.25,4.75,2.0,162.5,72.5,0.0,0.0,123.5,42.75,0.0,23.0
Yan Xiaonan,Angela Hill,Robert Madrigal,2019,"Chicago, Illinois, USA",Red,False,Women's Strawweight,3,0.0,1.0,0.0,25.4,17.9,22.5,16.8,121.1,55.6,2.6,1.9,108.3,45.3,0.2,12.5,11.1,0.1,0.1,146.2,74.3,0.48,0.0,0.8,0.3,0.25,159.0,85.8,1.0,6.0,29.7,16.3,21.3,11.9,168.2,52.0,1.7,1.2,149.5,38.7,0.0,12.0
Bevon Lewis,Darren Stewart,Marc Goddard,2019,"Chicago, Illinois, USA",Blue,False,Middleweight,3,1.0,0.0,0.0,5.428571428571429,4.142857142857143,12.285714285714285,9.142857142857142,37.857142857142854,11.714285714285715,5.142857142857143,3.2857142857142856,45.57142857142857,17.428571428571427,0.2857142857142857,4.285714285714286,2.571428571428572,0.2857142857142857,0.0,55.28571428571429,24.142857142857146,0.4542857142857142,0.0,2.4285714285714284,1.0,0.2414285714285714,65.14285714285714,32.42857142857143,2.0,5.0,5.285714285714286,3.571428571428572,12.285714285714285,8.571428571428571,31.42857142857143,11.428571428571427,2.7142857142857144,1.7142857142857142,38.42857142857143,15.714285714285715,0.0,2.7142857142857144
Eddie Wineland,Grigorii Popov,Kevin MacDonald,2019,"Chicago, Illinois, USA",Red,False,Bantamweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katlyn Chookagian,Joanne Calderwood,Dan Miragliotta,2019,"Chicago, Illinois, USA",Red,False,Women's Flyweight,3,0.0,2.0,0.0,21.875,13.0,14.875,10.25,96.75,44.75,10.25,6.375,75.0,29.0,0.375,25.0,19.375,1.25,0.25,121.875,61.375,0.53625,0.5,2.125,1.125,0.26,162.25,95.625,2.0,3.0,15.75,12.125,9.375,7.125,70.375,31.625,6.25,4.625,59.625,25.25,0.0,10.625
Alexander Gustafsson,Anthony Smith,Marc Goddard,2019,"Stockholm, Sweden",Blue,False,Light Heavyweight,5,1.0,0.0,0.0,9.272727272727273,6.1818181818181825,6.8181818181818175,5.2727272727272725,57.18181818181818,25.90909090909091,2.636363636363636,2.0,53.36363636363637,23.272727272727273,0.4545454545454545,4.0,3.727272727272727,0.4545454545454545,0.18181818181818185,66.63636363636364,33.18181818181818,0.5072727272727273,0.3636363636363637,1.2727272727272727,0.3636363636363637,0.09636363636363636,71.45454545454545,37.63636363636363,3.0,4.0,11.545454545454545,9.090909090909092,9.363636363636363,6.454545454545454,55.09090909090909,26.363636363636363,18.09090909090909,14.636363636363635,57.90909090909091,26.45454545454545,0.18181818181818185,13.090909090909092
Jimi Manuwa,Aleksandar Rakic,Kevin Sataki,2019,"Stockholm, Sweden",Blue,False,Light Heavyweight,3,0.0,3.0,0.0,10.333333333333334,8.333333333333334,6.666666666666668,4.666666666666667,68.33333333333333,26.33333333333333,38.0,29.33333333333333,86.66666666666669,40.66666666666666,0.6666666666666666,16.0,11.333333333333336,1.3333333333333333,0.0,113.0,60.33333333333334,0.5666666666666667,0.0,1.6666666666666667,1.0,0.25,181.0,123.66666666666669,3.0,0.0,1.6666666666666667,0.0,3.333333333333333,3.0,30.66666666666667,12.333333333333336,3.333333333333333,3.0,29.66666666666667,13.666666666666664,0.3333333333333333,6.0
Makwan Amirkhani,Chris Fishgold,Marc Goddard,2019,"Stockholm, Sweden",Red,False,Featherweight,3,0.0,1.0,0.0,2.5,1.0,5.0,2.5,45.5,13.5,3.0,1.0,46.5,13.5,0.0,4.5,2.5,2.5,0.0,53.5,17.0,0.345,1.0,6.0,3.0,0.5,57.0,19.5,1.0,1.0,2.0,2.0,1.0,0.5,27.5,12.0,12.0,8.0,38.0,18.5,0.5,0.5
Damir Hadzovic,Christos Giagos,Rich Mitchell,2019,"Stockholm, Sweden",Blue,False,Lightweight,3,0.0,1.0,0.0,7.0,4.2,4.6,2.6,42.8,11.0,12.8,6.2,52.2,14.8,0.0,1.0,0.8,1.0,0.4,60.2,19.8,0.342,0.2,3.0,1.2,0.3,76.0,33.4,1.0,3.0,6.4,4.2,5.2,2.6,30.4,12.6,2.2,2.0,26.6,9.4,0.0,4.8
Daniel Teymur,Sung Bin Jo,Rebin Saber,2019,"Stockholm, Sweden",Red,False,Featherweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rostem Akman,Sergey Khandozhko,Leon Roberts,2019,"Stockholm, Sweden",Blue,False,Welterweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonya Evinger,Lina Lansberg,Kevin Sataki,2019,"Stockholm, Sweden",Blue,False,Women's Bantamweight,3,1.0,0.0,0.0,26.0,22.2,30.2,24.8,46.6,17.6,1.8,1.2,46.8,16.4,0.0,5.8,5.0,0.0,0.0,78.6,43.6,0.562,0.2,1.8,0.4,0.22800000000000006,100.8,62.4,1.0,3.0,27.0,21.4,28.8,22.6,73.8,31.4,15.6,9.8,83.4,36.2,0.0,7.8
Stevie Ray,Leonardo Santos,Marc Goddard,2019,"Stockholm, Sweden",Blue,False,Lightweight,3,0.0,4.0,0.0,9.666666666666666,5.166666666666667,2.0,1.0,53.83333333333334,18.83333333333333,6.5,5.333333333333333,46.66666666666666,15.0,0.16666666666666666,6.0,5.0,1.8333333333333333,0.0,62.33333333333334,25.16666666666667,0.41,0.3333333333333333,3.333333333333333,0.8333333333333334,0.3566666666666667,75.66666666666667,36.833333333333336,4.0,1.0,7.833333333333332,5.5,7.166666666666668,5.166666666666667,63.66666666666666,21.5,3.6666666666666665,2.1666666666666665,56.0,15.166666666666664,0.16666666666666666,10.666666666666666
Nick Hein,Frank Camacho,Leon Roberts,2019,"Stockholm, Sweden",Blue,False,Lightweight,3,2.0,0.0,0.0,21.66666666666667,17.666666666666668,13.333333333333336,10.333333333333334,177.33333333333337,84.0,2.333333333333333,0.6666666666666666,170.33333333333334,76.33333333333333,0.0,1.0,1.0,1.3333333333333333,0.6666666666666666,193.0,95.0,0.47,0.0,3.333333333333333,1.3333333333333333,0.4,231.66666666666663,131.0,1.0,2.0,24.66666666666667,18.666666666666668,12.0,8.333333333333334,206.0,90.0,7.0,4.333333333333333,191.0,74.66666666666667,0.6666666666666666,9.333333333333334
